name,estab_year,employees_count,location,job_ids,skills,hr,Designation,Involvement,Exp,url
Dev Technosys,Founded in 2010,50 - 200 employees,Jaipur,81535,"Business Development, Direct Sales",Dev HR Team,Business Analyst,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-81535-business-analyst-at-dev-technosys-jaipur/
HyperTest,Founded in 2019,10 - 50 employees,Gurgaon,123019,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Shailendra Singh,Customer Success Specialist,Sales and Business → Customer Service,2-4 Years,https://www.instahyre.com/job-123019-customer-success-specialist-at-hypertest-gurgaon/
Ionixx Technologies,Founded in 2013,200 - 500 employees,"Chennai, Work From Home",83118,"Content Marketing, Content Writing",Senthilmurugan Raju,Content Writer,Marketing → Content Writing,4-6 Years,https://www.instahyre.com/job-83118-content-writer-at-ionixx-technologies-chennai-work-from-home/
PlanCover,Founded in 2013,50 - 200 employees,"Bangalore, Delhi, Work From Home",88514,"Business Development, Corporate Sales, Sales",Deepak Mendiratta,Business Development Associate,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-88514-business-development-associate-at-plancover-bangalore-delhi-work-from-home/
Promobi Technologies,Founded in 2013,50 - 200 employees,Pune,164981,"Content Marketing, Content Writing, English Content",Rahul Muley,Product Content Writer,Marketing → Content Writing,2-6 Years,https://www.instahyre.com/job-164981-product-content-writer-at-promobi-technologies-pune/
Ultracures,Founded in 2020,0 - 10 employees,"Ahmedabad, Bangalore, Hyderabad",116727,"Business Development, Corporate Sales, Direct Sales, International Sales, Lead Generation, Sales, Sales Operations",Bhabani Singh,Business Development Executive,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-116727-business-development-executive-at-ultracures-ahmedabad-bangalore-hyderabad/
Univariety,Founded in 2011,50 - 200 employees,Work From Home,154018,"Business Development, Corporate Sales, Direct Sales, International Sales, Lead Generation, Revenue Management, Sales",Sunitha Mudiraj,B2B Sales Manager,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-154018-b2b-sales-manager-at-univariety-work-from-home/
Gripple,Founded in 1998,500 - 1000 employees,Bangalore,214383,Direct Sales,Raman Mehrotra,Assistant Sales Manager,Sales and Business → Sales / Business Developme,4-7 Years,https://www.instahyre.com/job-214383-assistant-sales-manager-at-gripple-bangalore/
Gripple,Founded in 1998,500 - 1000 employees,Delhi,214385,"Direct Sales, Sales, Business Development",Raman Mehrotra,Assistant Sales Manager,Sales and Business → Sales / Business Developme,2-7 Years,https://www.instahyre.com/job-214385-assistant-sales-manager-at-gripple-delhi/
Gripple,Founded in 1998,500 - 1000 employees,Delhi,255668,"Marketing, Marketing Operations, Product Management, Product Marketing",Feroj Sayyad,Marketing Manager,"Marketing → Online Marketing, Product Manageme",2-7 Years,https://www.instahyre.com/job-255668-marketing-manager-at-gripple-delhi/
Hustlehub,Founded in 2018,50 - 200 employees,Bangalore,256649,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Srilakshmi Nair,Sales Manager,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-256649-sales-manager-at-hustlehub-bangalore/
Sapcon Steels,Founded in 1992,50 - 200 employees,Chandigarh,250042,"Corporate Sales, Direct Sales, Sales",Monika Sharma,Corporate Sales Executive,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-250042-corporate-sales-executive-at-sapcon-steels-chandigarh/
Booking Holdings,Founded in 1996,More than 1000 employees,Bangalore,255062,"Accounting, Auditing, Finance, Chartered Accountant, Financial Reporting",Sporshita Ray,Manager - Fixed Assets and Lease Accounting,Operations → Accounting / Finance,11-15 Years,https://www.instahyre.com/job-255062-manager-fixed-assets-and-lease-accounting-at-booking-holdings-bangalore/
Amar Ujala Publications,Founded in 1948,More than 1000 employees,Ghaziabad,244358,"Business Development, Corporate Sales, Direct Sales, Sales",Gulshan Jangid,Sales Officer,Sales and Business → Sales / Business Developme,3-8 Years,https://www.instahyre.com/job-244358-sales-officer-at-amar-ujala-publications-ghaziabad/
BharatJal,Founded in 2017,10 - 50 employees,Delhi,246654,Business Development,Feroz Mohan Malik,Founder's Office Manager,Sales and Business → General Management / Strategy,4-6 Years,https://www.instahyre.com/job-246654-founders-office-manager-at-bharatjal-delhi/
Homes247.in,Founded in 2017,10 - 50 employees,Bangalore,235458,"Customer Relationship, Marketing, Sales",Durga Priya,Sales Manager,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-235458-sales-manager-at-homes247-bangalore/
IndiaMART InterMESH,Founded in 1999,More than 1000 employees,Bangalore,265258,"Business Development, Corporate Sales, Direct Sales, Sales",Meenakshi Ladha,Regional Manager,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-265258-regional-manager-at-indiamart-intermesh-4-bangalore/
Reliance Jio Infocomm,Founded in 2007,More than 1000 employees,Hyderabad,243146,"Business Development, Direct Sales, Sales",Jhansi Patnaikuni,JC JHD Sales Lead,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-243146-jc-jhd-sales-lead-at-reliance-jio-infocomm-2-hyderabad/
Revamp Moto,Founded in 2020,10 - 50 employees,"Bangalore, Chennai, Vadodara",255066,Sales,Ashok Biswal,Territory Sales Manager,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-255066-territory-sales-manager-at-revamp-moto-bangalore-chennai-vadodara/
Sirona Hygiene,Founded in 2015,50 - 200 employees,Delhi,221766,"Content Writing, English Content",Swati Jhamb,Copywriter,Marketing → Content Writing,4-8 Years,https://www.instahyre.com/job-221766-copywriter-at-sirona-hygiene-delhi/
Sri Sri Tattva Panchakarma,Founded in 2017,50 - 200 employees,Bangalore,264123,Content Writing,Bhanu R,Content Writer,Marketing → Content Writing,3-7 Years,https://www.instahyre.com/job-264123-content-writer-at-sri-sri-tattva-panchakarma-bangalore/
Tekion,Founded in 2016,50 - 200 employees,Noida,227483,"React.js, Architecture, HTML, JavaScript, Redux",Kaberi Baruah,Staff Engineer,Software Engineering → Frontend Developme,8-12 Years,https://www.instahyre.com/job-227483-staff-engineer-at-tekion-noida/
Venkatesh Natural Extracts,Founded in 2000,50 - 200 employees,"Greater Noida, Noida",219289,"Business Development, Sales",Imran Khan,Business Development Executive,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-219289-business-development-executive-at-venkatesh-natural-extracts-greater-noida-noida/
Homes247.in,Founded in 2017,10 - 50 employees,Bangalore,214384,"Customer Relationship, Sales, Telecalling",Durga Priya,Sales Manager,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-214384-sales-manager-at-homes247-bangalore/
Klothinn,Founded in 2023,0 - 10 employees,Kolkata,236683,"Content Marketing, Content Writing, English Content",Suman Naskar,Copywriter,Marketing → Content Writing,1-4 Years,https://www.instahyre.com/job-236683-copywriter-at-klothinn-kolkata/
Sirona Hygiene,Founded in 2015,50 - 200 employees,Delhi,221766,"Content Writing, English Content",Swati Jhamb,Copywriter,Marketing → Content Writing,4-8 Years,https://www.instahyre.com/job-221766-copywriter-at-sirona-hygiene-delhi/
Sri Sri Tattva Panchakarma,Founded in 2017,50 - 200 employees,Bangalore,264123,Content Writing,Bhanu R,Content Writer,Marketing → Content Writing,3-7 Years,https://www.instahyre.com/job-264123-content-writer-at-sri-sri-tattva-panchakarma-bangalore/
Tavastha Ayurveda,Founded in 2020,10 - 50 employees,Bhopal,222777,"Operations Management, Process Improvement, Vendor Management",Kiyah Singh,Executive Assistant,Operations → Operations Manageme,1-3 Years,https://www.instahyre.com/job-222777-executive-assistant-at-tavastha-ayurveda-bhopal/
Antier Solutions,Founded in 2003,500 - 1000 employees,Chandigarh,264876,Content Writing,Kalpana Choudhary,Technical Content Writer - Academic,Marketing → Content Writing,4-7 Years,https://www.instahyre.com/job-264876-technical-content-writer-academic-at-antier-solutions-chandigarh/
Edunext Technologies,Founded in 2012,10 - 50 employees,Noida,262134,"Business Development, Corporate Sales, Sales",Avantika Sharma,Area Sales Manager,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-262134-area-sales-manager-at-edunext-technologies-noida/
Edvizo,Founded in 2017,10 - 50 employees,Patna,261709,"Business Development, Corporate Sales, Direct Sales, Sales",Tanzeem Ashraf,Admission Officer,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-261709-admission-officer-at-edvizo-2-patna/
FleetStack,Founded in 2022,10 - 50 employees,Work From Home,261508,"Customer Interaction, Customer Relationship, Customer Service",Fleet Stack,Customer Relationship Manager,Sales and Business → Customer Service,0-3 Years,https://www.instahyre.com/job-261508-customer-relationship-manager-at-fleetstack-work-from-home/
Hike Education,Founded in 2014,50 - 200 employees,"Gurgaon, Hyderabad, Mumbai",265670,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Mayank Singh,Team Leader,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-265670-team-leader-at-hike-education-gurgaon-hyderabad-mumbai/
IndiaMART InterMESH,Founded in 1999,More than 1000 employees,Bangalore,265258,"Business Development, Corporate Sales, Direct Sales, Sales",Meenakshi Ladha,Regional Manager,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-265258-regional-manager-at-indiamart-intermesh-4-bangalore/
The Quizopedia,Founded in 2018,0 - 10 employees,Delhi,257108,"Content Marketing, Content Writing, English Content",Sanjeev Kumar,Content Writer,Marketing → Content Writing,1-3 Years,https://www.instahyre.com/job-257108-content-writer-at-the-quizopedia-delhi/
Times Group,Founded in 1838,More than 1000 employees,Delhi,265256,"Business Development, Corporate Sales",Dipika Manglani,Senior Manager / Manager - Placements,Sales and Business → Sales / Business Developme,8-12 Years,https://www.instahyre.com/job-265256-senior-manager-manager-placements-at-times-group-delhi/
Y-Axis Overseas,Founded in 1999,500 - 1000 employees,Bangalore,264825,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Prem Chand,Inside Sales Representative,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-264825-inside-sales-representative-at-y-axis-overseas-bangalore/
Yzerly,Founded in 2023,10 - 50 employees,Bangalore,261382,"Content Marketing, Content Writing, English Content",Wilma Lobo,Marketing Specialist,Marketing → Content Writing,2-3 Years,https://www.instahyre.com/job-261382-marketing-specialist-at-yzerly-bangalore/
CareerNinja,Founded in 2017,10 - 50 employees,"Mumbai, Work From Home",251351,"Business Development, Sales",Shakshi Bhimani,Sales Executive,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-251351-sales-executive-at-careerninja-mumbai-work-from-home/
EduFund,Founded in 2019,10 - 50 employees,"Bangalore, Mumbai, Pune",252103,Content Writing,Supriya Samson,Content Marketer,Marketing → Content Writing,3-4 Years,https://www.instahyre.com/job-252103-content-marketer-at-edufund-bangalore-mumbai-pune/
LINC Education,Founded in 2017,10 - 50 employees,Mumbai,254332,"Business Development, International Sales, Sales, Telecalling",Nisha Sakure,Academic Counsellor,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-254332-academic-counsellor-at-linc-education-mumbai/
Logyify India,Founded in 2018,50 - 200 employees,"Ghaziabad, Work From Home",252499,"Business Development, Direct Sales, Sales",Arushi Agarwal,Sales Executive,Sales and Business → Sales / Business Developme,0-3 Years,https://www.instahyre.com/job-252499-sales-executive-at-logyify-india-ghaziabad-work-from-home/
Mesotap Performance Marketing Services,Founded in 2021,0 - 10 employees,Work From Home,256364,"Career Counselling, Direct Sales, Sales, Telecalling",Mesotap Hr,Admissions Counsellor,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-256364-admissions-counsellor-at-mesotap-performance-marketing-services-work-from-home/
Naresh i Technologies,Founded in 2004,50 - 200 employees,Hyderabad,255554,Salesforce,Sony Naresh IT,Salesforce Developer,Software Engineering → Other Software Developme,3-6 Years,https://www.instahyre.com/job-255554-salesforce-developer-at-naresh-i-technologies-hyderabad/
Quantum Leap Learning Solutions,Founded in 2006,50 - 200 employees,Bangalore,253839,"Logistics Management, Operations Management, Process Improvement, Production Management, Supply Chain Management",Abhishek S Thalanki,Progress Partner - Business Coach,Operations → Operations Manageme,5-9 Years,https://www.instahyre.com/job-253839-progress-partner-business-coach-at-quantum-leap-learning-solutions-bangalore/
Quick Visa Solutions,Founded in 2015,10 - 50 employees,Gurgaon,249219,"Customer Interaction, Customer Relationship, Customer Service",Rashi Sharma,Telecaller,Sales and Business → Customer Service,0-1 Years,https://www.instahyre.com/job-249219-telecaller-at-quick-visa-solutions-gurgaon/
Space Technology & Education,Founded in 2001,50 - 200 employees,Delhi,256898,"Business Development, Direct Sales, Sales",Yachika Kanojia Hrrecruiter,Sales Executive / Sr. Executive Tourism,Sales and Business → Sales / Business Developme,0-4 Years,https://www.instahyre.com/job-256898-sales-executive-sr-executive-tourism-at-space-technology-education-delhi/
Steinbeis India,Founded in 2009,10 - 50 employees,Hyderabad,257100,Business Development,Steinbeis India,Marketing Manager,Sales and Business → Sales / Business Developme,5-7 Years,https://www.instahyre.com/job-257100-marketing-manager-at-steinbeis-india-hyderabad/
Aditi Tracking,Founded in 2011,50 - 200 employees,"Mumbai, Navi Mumbai",239611,"Business Development, Corporate Sales, Direct Sales, Sales",Atspl Hr,Asst. Sales Manager,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-239611-asst-sales-manager-at-aditi-tracking-mumbai-navi-mumbai/
Digicrome,Founded in 2020,50 - 200 employees,Noida,239931,"Business Development, Corporate Sales, Sales",Digicrome Support,Education Admission Counselor,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-239931-education-admission-counselor-at-digicrome-noida/
Easy hiring,Founded in 2021,0 - 10 employees,Hyderabad,238528,"Business Development, Direct Sales, Sales, Telecalling",Pradeep Sena Reddy Singam,Business Development Executive,Sales and Business → Sales / Business Developme,0-2 Years,https://www.instahyre.com/job-238528-business-development-executive-at-easy-hiring-hyderabad/
Edureify,Founded in 2018,10 - 50 employees,Kolkata,247125,"Direct Sales, Sales, Telecalling",Archana Raha,Inside Sales,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-247125-inside-sales-at-edureify-kolkata/
Infinity Learn,Founded in 2016,50 - 200 employees,Noida,246693,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Neha Tiwari,Academic Counselor,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-246693-academic-counselor-at-infinity-learn-noida/
Mind Admission Solution,Founded in 2019,10 - 50 employees,Pune,241869,"Business Development, Career Counselling, Education Counselling, Sales, Telecalling",Rakesh Sethi,Business Development Executive,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-241869-business-development-executive-at-mind-admission-solution-pune/
Naresh i Technologies,Founded in 2004,50 - 200 employees,Hyderabad,245912,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Sony Naresh IT,Educational Counselor,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-245912-educational-counselor-at-naresh-i-technologies-hyderabad/
P.Labs Ventures,Founded in 2018,10 - 50 employees,Delhi,240688,Sales,Indira B,Admission Councellor,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-240688-admission-councellor-at-p-delhi/
Paypal,Founded in 1998,More than 1000 employees,Bangalore,248950,"GraphQL, Node.js, React.js",Ashwin Narayan,Lead Software Engineer (Web),Software Engineering → Full-Stack Developme,8-12 Years,https://www.instahyre.com/job-248950-lead-software-engineer-web-at-paypal-bangalore/
Reliance Jio Infocomm,Founded in 2007,More than 1000 employees,Hyderabad,242640,"Business Development, Direct Sales, Sales",S Rupesh Kumar,Enterprises Sales Officer,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-242640-enterprises-sales-officer-at-reliance-jio-infocomm-2-hyderabad/
EpicMinds Information Technology,Founded in 2015,500 - 1000 employees,Bangalore,238043,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Jerry Stanley,Outbound Sales Specialist,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-238043-outbound-sales-specialist-at-epicminds-information-technology-bangalore/
eReleGo Technologies,Founded in 2013,50 - 200 employees,Gulbarga,233168,"Business Development, Direct Sales, Sales",Rahul Gupta,Field Sales Executive,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-233168-field-sales-executive-at-erelego-technologies-gulbarga/
iDream Education,Founded in 2016,50 - 200 employees,Gurgaon,234080,"Content Marketing, Content Writing, English Content",Shiwangi Sinha,Content Writer,Marketing → Content Writing,5-9 Years,https://www.instahyre.com/job-234080-content-writer-at-idream-education-gurgaon/
iDream Education,Founded in 2016,50 - 200 employees,Gurgaon,234072,"Content Marketing, Content Writing, English Content",Shiwangi Sinha,Content Writer - Social Impact,Marketing → Content Writing,5-9 Years,https://www.instahyre.com/job-234072-content-writer-social-impact-at-idream-education-gurgaon/
iDream Education,Founded in 2016,50 - 200 employees,Gurgaon,234076,"Business Development, Sales",Shiwangi Sinha,Senior Manager - Growth,Sales and Business → Sales / Business Developme,5-9 Years,https://www.instahyre.com/job-234076-senior-manager-growth-at-idream-education-gurgaon/
iDream Education,Founded in 2016,50 - 200 employees,Gurgaon,234074,"Business Development, Sales",Shiwangi Sinha,Social Impact and Outreach Manager,Sales and Business → Sales / Business Developme,5-9 Years,https://www.instahyre.com/job-234074-social-impact-and-outreach-manager-at-idream-education-gurgaon/
MyStudia Education,Founded in 2017,50 - 200 employees,Pune,230638,"Business Development, Corporate Sales, Sales",Sumit Keshri,Business Development Executive,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-230638-business-development-executive-at-mystudia-education-pune/
MyStudia Education,Founded in 2017,50 - 200 employees,"Ambala, Chandigarh, Panipat",228724,"Business Development, Corporate Sales, Direct Sales, Sales",Sumit Keshri,Business Development Officer,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-228724-business-development-officer-at-mystudia-education-ambala-chandigarh-panipat/
NetCom Learning,Founded in 1998,50 - 200 employees,Work From Home,235234,"Business Development, International Sales, Sales",Sakshi Maithil,Key Account Manager,Sales and Business → Sales / Business Developme,6-10 Years,https://www.instahyre.com/job-235234-key-account-manager-at-netcom-learning-work-from-home/
University Living,Founded in 2015,50 - 200 employees,Noida,233809,"Contract Drafting, KAM, Property Acquisition, Proposal Writing",Kavita Singh,Sr. Associate / AM - Global Supply Acquisition,Sales and Business → Sales / Business Developme,6-10 Years,https://www.instahyre.com/job-233809-sr-associate-am-global-supply-acquisition-at-university-living-noida/
Airblack,Founded in 2019,50 - 200 employees,Gurgaon,183532,"International Sales, Business Development, Direct Sales, Sales, Telecalling",Neha Tiwari,Business Development Associate,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-183532-business-development-associate-at-airblack-gurgaon/
Blue Ocean Academy,Founded in 1988,10 - 50 employees,Delhi,220759,"Direct Sales, Telecalling",Deepak Mahajan,Training Consultant,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-220759-training-consultant-at-blue-ocean-academy-delhi/
CareerLabs,Founded in 2019,50 - 200 employees,"Chennai, Hyderabad, Noida",185953,"Business Development, Corporate Sales, Direct Sales",Reetu Garg,B2B Field Marketing Executive,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-185953-b2b-field-marketing-executive-at-careerlabs-chennai-hyderabad-noida/
GearUp Academy,Founded in 2021,10 - 50 employees,Work From Home,227359,"Business Development, Corporate Sales, International Sales, Sales",Satya Prakash,Business Development Manager,Sales and Business → Sales / Business Developme,2-3 Years,https://www.instahyre.com/job-227359-business-development-manager-at-gearup-academy-work-from-home/
Jamboree Education,Founded in 1993,200 - 500 employees,"Bangalore, Hyderabad, Navi Mumbai",159959,Business Development,Rifa Hassan,Business Development Manager,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-159959-business-development-manager-at-jamboree-education-bangalore-hyderabad-navi-mumbai/
Maven Silicon,Founded in 2010,10 - 50 employees,Bangalore,156033,"Business Development, Sales",Shravani Gowda,Program Advisor,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-156033-program-advisor-at-maven-silicon-bangalore/
NetCom Learning,Founded in 1998,50 - 200 employees,Work From Home,203825,"Business Development, Corporate Sales, International Sales, Sales",Sakshi Maithil,Inside Sales - Lead Development Representative,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-203825-inside-sales-lead-development-representative-at-netcom-learning-work-from-home/
Scaler Academy,Founded in 2019,50 - 200 employees,Bangalore,210599,"Business Development, International Sales, Sales",Ankita M,Business Development Associate,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-210599-business-development-associate-at-scaler-academy-bangalore/
SNVA Ventures,Founded in 2009,500 - 1000 employees,Noida,216657,"Business Development, International Sales, Sales, Telecalling",Ishika Gupta,International Sales Executive,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-216657-international-sales-executive-at-snva-ventures-noida/
Zell Education,Founded in 2015,10 - 50 employees,Mumbai,177668,"Business Development, Corporate Sales, International Sales, Sales, Telecalling",Neha Tiwari,Business Development Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-177668-business-development-executive-at-zell-education-mumbai/
EDIIFY,Founded in 2019,10 - 50 employees,Mumbai,96021,"Business Development, Sales, Telecalling",Sudhir S Chaurasiya,Admission Counselor,Sales and Business → Sales / Business Developme,0-0 Years,https://www.instahyre.com/job-96021-admission-counselor-at-ediify-mumbai/
Univariety,Founded in 2011,50 - 200 employees,Work From Home,154018,"Business Development, Corporate Sales, Direct Sales, International Sales, Lead Generation, Revenue Management, Sales",Sunitha Mudiraj,B2B Sales Manager,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-154018-b2b-sales-manager-at-univariety-work-from-home/
Gripple,Founded in 1998,500 - 1000 employees,Delhi,214385,"Direct Sales, Sales, Business Development",Raman Mehrotra,Assistant Sales Manager,Sales and Business → Sales / Business Developme,2-7 Years,https://www.instahyre.com/job-214385-assistant-sales-manager-at-gripple-delhi/
Rishabh Instruments,Founded in 1985,More than 1000 employees,"Bangalore, Delhi",245954,Sales,Minal Darve,Sales Engineer,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-245954-sales-engineer-at-rishabh-instruments-bangalore-delhi/
ConvertCart,Founded in 2013,50 - 200 employees,Bangalore,264842,"Business Development, Sales",Pushpa Anjali A,Sales Manager,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-264842-sales-manager-at-convertcart-2-bangalore/
DailyObjects,Founded in 2012,50 - 200 employees,Gurgaon,265992,"Business Development, Corporate Sales, Direct Sales, Sales",Anashwara Mathew,B2B Corporate Sales - Gifting Segment,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-265992-b2b-corporate-sales-gifting-segment-at-dailyobjects-2-gurgaon/
Konark Events,Founded in 2007,10 - 50 employees,Jaipur,237167,"Logistics Management, Operations Management, Production Management, Vendor Management",Mandeep Agarwal,Client Relationship Manager,Operations → Operations Manageme,2-6 Years,https://www.instahyre.com/job-237167-client-relationship-manager-at-konark-events-jaipur/
Konark Events,Founded in 2007,10 - 50 employees,Jaipur,237165,"Logistics Management, Operations Management, Procurement, Production Management, Quality Control, Vendor Management",Mandeep Agarwal,Event Operation Manager,Operations → Operations Manageme,2-4 Years,https://www.instahyre.com/job-237165-event-operation-manager-at-konark-events-jaipur/
Konark Events,Founded in 2007,10 - 50 employees,Jaipur,237168,Business Development,Mandeep Agarwal,Hotel Sales Executive,Sales and Business → General Management / Strategy,3-7 Years,https://www.instahyre.com/job-237168-hotel-sales-executive-at-konark-events-jaipur/
Zolo,Founded in 2015,50 - 200 employees,Mangalore,243360,"Operations Management, Process Improvement, Procurement, Quality Control, Vendor Management",Siddharth Bhargav,Associate Manager - Operations,Operations → Operations Manageme,2-6 Years,https://www.instahyre.com/job-243360-associate-manager-operations-at-zolo-mangalore/
DeMeNew,Founded in 2019,10 - 50 employees,Work From Home,261762,"Business Development, Corporate Sales, Direct Sales, Sales",Jyoti Bohra,Regional Sales Manager,Sales and Business → Sales / Business Developme,9-12 Years,https://www.instahyre.com/job-261762-regional-sales-manager-at-demenew-work-from-home/
Digicides,Founded in 2017,10 - 50 employees,"Hyderabad, Pune",232279,"Business Development, Corporate Sales, Sales",Pratiksha Yaduwanshi,Sales Associate,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-232279-sales-associate-at-digicides-hyderabad-pune/
Klothinn,Founded in 2023,0 - 10 employees,Kolkata,236683,"Content Marketing, Content Writing, English Content",Suman Naskar,Copywriter,Marketing → Content Writing,1-4 Years,https://www.instahyre.com/job-236683-copywriter-at-klothinn-kolkata/
MicroGO,Founded in 2016,10 - 50 employees,"Chennai, Delhi, Mumbai",196060,"Business Development, Direct Sales, Sales",Hr Department,Field Sales Executive,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-196060-field-sales-executive-at-microgo-chennai-delhi-mumbai/
Revamp Moto,Founded in 2020,10 - 50 employees,"Bangalore, Chennai, Vadodara",255066,Sales,Ashok Biswal,Territory Sales Manager,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-255066-territory-sales-manager-at-revamp-moto-bangalore-chennai-vadodara/
Tavastha Ayurveda,Founded in 2020,10 - 50 employees,Bhopal,222777,"Operations Management, Process Improvement, Vendor Management",Kiyah Singh,Executive Assistant,Operations → Operations Manageme,1-3 Years,https://www.instahyre.com/job-222777-executive-assistant-at-tavastha-ayurveda-bhopal/
Blue Ocean Academy,Founded in 1988,10 - 50 employees,Delhi,220759,"Direct Sales, Telecalling",Deepak Mahajan,Training Consultant,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-220759-training-consultant-at-blue-ocean-academy-delhi/
Fleetx,Founded in 2017,200 - 500 employees,"Ahmedabad, Gandhidham, Mumbai",227715,"Business Development, Direct Sales, Sales",Yesha Verma,Area Sales Manager,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-227715-area-sales-manager-at-fleetx-ahmedabad-gandhidham-mumbai/
Fleetx,Founded in 2017,200 - 500 employees,"Jaipur, Kolkata, Surat",198835,"Business Development, Direct Sales, Sales",Vikas Kumar,Zonal Head - Sales,Sales and Business → Sales / Business Developme,10-14 Years,https://www.instahyre.com/job-198835-zonal-head-sales-at-fleetx-jaipur-kolkata-surat/
Hopstack,Founded in 2018,10 - 50 employees,Bangalore,264916,"JavaScript, Node.js, React.js, Docker, MongoDB",Shivkumar Gurram,SDE 2 (Fullstack),"Software Engineering → Backend Development, Frontend Development, Full-Stack Developme",3-6 Years,https://www.instahyre.com/job-264916-sde-2-fullstack-at-hopstack-bangalore/
Looper Development Services,Founded in 2021,10 - 50 employees,Mohali,246630,Customer Service,Kanchan Rajbhar,Freight Broker,Sales and Business → Customer Service,1-1 Years,https://www.instahyre.com/job-246630-freight-broker-at-looper-development-services-mohali/
Raaho,Founded in 2015,10 - 50 employees,Hyderabad,254370,"Customer Interaction, Customer Relationship",Aditi Dharan,Sr. Collections Executive,Sales and Business → Customer Service,3-5 Years,https://www.instahyre.com/job-254370-sr-collections-executive-at-raaho-hyderabad/
Road Express,Founded in 2018,10 - 50 employees,"Gurgaon, Jamshedpur, Mumbai",251077,"Customer Service, Key Account Management",Sanny Singh,Traffic Incharge,Sales and Business → Customer Service,1-5 Years,https://www.instahyre.com/job-251077-traffic-incharge-at-road-express-gurgaon-jamshedpur-mumbai/
